statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2012,Retirement benefit obligation,retirement benefit obligation,,46.0,balance sheet 2010-2012
Balance sheet,Company,2012,Share capital,share capital,share_capital,13126.0,balance sheet 2010-2012
Balance sheet,Company,2012,Subordinated loan guaranteed by government,subordinated loan guaranteed by government,subordinated_loan,1300.0,balance sheet 2010-2012
Balance sheet,Company,2012,Total assets,total assets,total_assets,14137.0,balance sheet 2010-2012
Balance sheet,Company,2012,total current assets,total current assets,current_assets,7162.0,balance sheet 2010-2012
Balance sheet,Company,2012,total current liabilities,total current liabilities,current_liabilities,10422.0,balance sheet 2010-2012
Balance sheet,Company,2012,total equity,total equity,total_equity,-165.0,balance sheet 2010-2012
Balance sheet,Company,2012,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,14137.0,balance sheet 2010-2012
Balance sheet,Company,2012,Total liabilities,total liabilities,total_liabilities,14302.0,balance sheet 2010-2012
Balance sheet,Company,2012,total non-current assets,total non-current assets,non_current_assets,6975.0,balance sheet 2010-2012
Balance sheet,Company,2012,total non-current liabilities,total non-current liabilities,non_current_liabilities,3880.0,balance sheet 2010-2012
Balance sheet,Company,2012,Trade and other payables,trade and other payables,payables,4833.0,balance sheet 2010-2012
Balance sheet,Company,2012,Trade and other receivables,trade and other receivables,receivables,4355.0,balance sheet 2010-2012
Balance sheet,Company,2015,Accumulated Loss,accumulated loss,accumulated_loss,-24362.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Bank overdraft,bank overdraft,bank_overdraft,1155.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Cash and cash equivalents,cash and cash equivalents,cash,519.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Amounts receivable from subsidiaries,current assets: amounts receivable from subsidiaries,,1262.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Derivatives,current assets: derivatives,,171.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3415.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Derivatives,current liabilities: derivatives,,346.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Provisions,current liabilities: provisions,provisions_current,511.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Current portion of long-term loans,current portion of long-term loans,current_portion_loans,4634.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Intangible assets,intangible assets,intangibles,155.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Inventories,inventories,inventories,121.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Investments,investments,,18.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Long-term loans,long-term loans,long_term_loans,4969.0,Balance sheet 2015-2017
Balance sheet,Company,2015,"Non-current assets classified as
held-for-sale and assets of
disposal groups",non-current assets classified as held-for-sale and assets of disposal groups,,99.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Amounts receivable from subsidiaries,non-current assets: amounts receivable from subsidiaries,,178.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Investments in subsidiaries,non-current assets: investments in subsidiaries,,1122.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Deferred revenue on ticket sales,non-current liabilities: deferred revenue on ticket sales,deferred_revenue_non_current,715.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Provisions,non-current liabilities: provisions,provisions_non_current,2135.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Non-current prepayments,non-current prepayments,,2184.0,Balance sheet 2015-2017
Balance sheet,Company,2015,"Property, aircraft and equipment","property, aircraft and equipment",ppe,3233.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Reserves,reserves,reserves,529.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Retirement benefit asset,retirement benefit asset,,38.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Retirement benefit obligation,retirement benefit obligation,,91.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Share capital,share capital,share_capital,13126.0,Balance sheet 2015-2017
